file,simtime,bgcells,bgstims,SpinyStellate,DeepBasket,DeepLTS,DeepAxoaxonic,SupPyrRS,SupPyrFRB,SupLTS,SupBasket,SupAxoaxonic,TCR,nRT,TuftedIB,TuftedRS,NontuftedRS
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_06/data_20120206_112440_1220.h5,10.0,10,30,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_06/data_20120206_112441_1248.h5,10.0,10,30,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_06_29/data_20120629_154728_24179.h5,55.0,5,39,240,0,0,0,100,5,9,9,9,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_06_29/data_20120629_154728_24180.h5,55.0,5,39,240,0,0,0,100,5,9,9,9,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_06_29/data_20120629_154728_24181.h5,55.0,5,39,240,0,0,0,100,5,9,9,9,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_10_04/data_20121004_201146_20645.h5,20.0,5,19,240,40,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_07_24/data_20120724_153602_19950.h5,5.0,2,3,10,5,5,5,0,0,0,0,0,5,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_07_24/data_20120724_142423_19602.h5,5.0,2,3,10,5,5,5,0,0,0,0,0,5,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_07_24/data_20120724_171405_17858.h5,25.0,5,9,240,60,0,0,100,5,9,9,9,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_07_24/data_20120724_155727_20002.h5,5.0,5,3,10,5,5,5,0,0,0,0,0,5,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_28/data_20120328_095226_25321.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_28/data_20120328_095229_25371.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_28/data_20120328_095225_25298.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_28/data_20120328_095234_25406.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_28/data_20120328_095228_25344.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_23/data_20120123_092558_14940.h5,10.0,20,24,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_23/data_20120123_092550_14913.h5,10.0,20,24,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_23/data_20120123_092600_14963.h5,10.0,20,24,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_23/data_20120123_092150_14871.h5,10.0,20,24,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_03_28/data_20130328_160048_7192.h5,20.0,5,19,240,10,10,10,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_01_25/data_20130125_120631_30768.h5,20.0,20,14,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_19/data_20120319_183805_31958.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_01_15/data_20130115_091426_25969.h5,20.0,15,21,240,0,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_08/data_20120208_114141_4344.h5,10.0,20,18,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_08/data_20120208_114143_4367.h5,10.0,20,18,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_08/data_20120208_115556_4589.h5,10.0,20,18,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_10/data_20120110_115732_23924.h5,5.0,50,14,240,0,0,0,0,0,0,0,0,100,0,0,0,0
