cellclass	depth	start	end	dia	layer	isInTraub
SupPyrRS	850	100	900	490	2/3	YES
SupPyrFRB	850	100	900	490	2/3	YES
SupLTS	850	100	900	490	2/3	NO
SupAxoaxonic	850	100	900	490	2/3	NO
SupBasket	850	100	900	490	2/3	NO
SpinyStellate	1400	1000	1600	650	4	NO
TuftedIB	1800	1600	2000	550	5	YES
TuftedRS	1800	1600	2000	550	5	YES
NontuftedRS	2200	2000	2500	200	6	YES
DeepBasket	2200	2000	2500	200	6	NO
DeepAxoaxonic	2200	2000	2500	200	6	NO
DeepLTS		2200	2000	2500	200	6	NO
TCR	3000	2800	3200	200	Thalamus	NO
nRT	3000	2800	3200	200	Thalamus	NO
